trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
422,False,"{'a': 0.6, 'e': 0.014389712604426485}",30,20,18.342717309602225,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.6, 'e': 0.01424581547838222}",25,9,24.822373502046307,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.6, 'e': 0.014103357323598397}",25,17,5.8627235600125776,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
425,False,"{'a': 0.6, 'e': 0.013962323750362413}",20,14,12.255501256084726,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.6, 'e': 0.013822700512858789}",35,18,31.493478747367224,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.6, 'e': 0.0136844735077302}",20,15,9.395907643647895,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.6, 'e': 0.013547628772652899}",20,15,9.186859136436691,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.6, 'e': 0.01341215248492637}",25,9,28.72729120965604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.6, 'e': 0.013278030960077106}",20,9,19.213948904546083,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.6, 'e': 0.013145250650476335}",25,12,20.368978718922957,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.6, 'e': 0.01301379814397157}",25,11,27.06286232162827,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.6, 'e': 0.012883660162531854}",20,6,26.80543697081484,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.6, 'e': 0.012754823560906535}",25,16,20.269933118167387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.6, 'e': 0.01262727532529747}",20,6,27.101449200817775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.6, 'e': 0.012501002572044496}",30,15,23.701664460572967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.6, 'e': 0.01237599254632405}",25,16,-23.99711030479311,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
438,False,"{'a': 0.6, 'e': 0.01225223262086081}",30,5,-5.663836883423718,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
439,False,"{'a': 0.6, 'e': 0.012129710294652202}",20,3,30.344176880052157,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.6, 'e': 0.01200841319170568}",20,5,27.323396539797628,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.6, 'e': 0.011888329059788623}",20,11,15.905030782824209,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.6, 'e': 0.011769445769190737}",35,22,25.6036873590806,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.6, 'e': 0.01165175131149883}",20,10,16.405886465782565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
